phrase,prompt
Something dark be there on my arm,Skin issue
iodine feel depress when iodine see my hair fall out,Hair falling out
I'm not feeling good I take my breath,Hard to breath
My body ache on the inside between my hip and shoulders.,Internal pain
['My bidJ aDhWs on the insJEe netdeeh my hips and shoulders.'],Internal pain
My back is hurting so much.,Back pain
iodine travel by airplane angstrom few days ago and this time during landing my ear stay clog and painful.,Ear ache
"foot i km, like feel in a ache walked foot i my 3 long pain for",Foot ache
It feels like I can't take a deep breath breath,Hard to breath
My ear is ringing.,Ear ache
hospital was my accident wound arrived when had and to an I I open,Open wound
['I Nzve a dry rTroat'],Cough
I knocked my foot and it really truly hurts.,Foot ache
iodine rich_person angstrom problem inch my back iodine cannot widen information_technology,Back pain
iodine feel discomfort throughout the body inch general,Body feels weak
joint my elbow a have pain i in,Joint pain
pain parents When think I feel I of my,Emotional pain
My hair be fall when iodine americium comb it.,Hair falling out
predicts rain weather forecast The,out of context
['I taCe a b%eao in the skin inside one of my noEtr&lz that has beFomf inB3xted and is now filPeE 2itj pus.'],Infected wound
tonic using hair tonic,Hair falling out
['I wish thkW SxVruciat(nt fwekinR of loss could go SSay.'],Emotional pain
of feel exercise so pains i alot yesterday I muscle sharp had,Muscle pain
i have issue with iodine my skin,Skin issue
My knee is hurting sol so badly.,Joint pain
When eyes I force my eyes to view I have blurry vision.,Blurry vision
When I stand up too quickly I feel as though I'm going to faint.,Feeling dizzy
The warming system of my feel house is broken and feel so cold,Feeling cold
inflamed is skin My itchy and,Skin issue
i'm injure iodine can't play sport,Injury from sports
i feel feel head ache,Head ache
hair A in fall terrible,Hair falling out
iodine can't base with this atrocious feeling inch my stomach,Stomach ache
['There is a FLnEtant tifkl2 in my ghr(at'],Cough
I have a foot ache after running 500m with rich_person my running shoes.,Foot ache
My chest hurts when I go to take a breath,Hard to breath
When i'm doing sport I have pain make under my skin,Muscle pain
I have a dull ache in my stomach.  It gets worse after I eat.,Internal pain
clear sky and today. is The clear blue,out of context
i have a pain in my elbow joint,Joint pain
up cannot get matter the on high I no or how put wrap I warm how much heating I,Feeling cold
"I cope overwhelmed anymore, feel like I a get can't can't like I just just feel and break. I",Emotional pain
['I hve cut my Bingef fecQuss of playing footHaok and I to sp)ly pa8g t4lief cream but it do4Z not help'],Injury from sports
"doesn't I help. feel I took after muscles yesterday, killers pain legs some it but ran in pain my I",Muscle pain
My heart feels like it's going to explode.,Heart hurts
"[""WG$n I ' m titer I feel my head heqfy""]",Head ache
"i am feeling so dizzy, body is so fragile.",Body feels weak
why be my shoulder ache when iodine attempt to choice up the laundry?,Shoulder pain
['I feel dJzzJ whwnedRr I sgahd up.'],Feeling dizzy
wound again opened My up,Open wound
How do you tear know if you have a torn meniscus in your knee?,Knee pain
"When I stand up, I departure feel like I'm going to fall down instantly",Feeling dizzy
I have my face come and .,Acne
"When iodine walk up angstrom flight of stairs, my right knee hurts.",Knee pain
when i get i feel dizzy and fall down.,Feeling dizzy
"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break. iodine",Emotional pain
"The pain be intense particularly when iodine go down the stairs, information_technology feel like something hour_angle snap inside my knee.",Knee pain
"[""I cut my fjbger KpeniBh a can, it won ' t sf(p Hl3Fding and the !oumd is gaoung and ilen""]",Open wound
I feel pain in my heart when I wake up,Heart hurts
I have iodine a sharp pain in my lower stomach.,Stomach ache
Severe pain in the ear,Ear ache
I complain alot with my neck pain and i really need to be better,Neck pain
and ache main to lots lots stomach the reason I for analysis my know of made,Stomach ache
There is a sharp pain in my ear whenever I do this.,Ear ache
"I information_technology cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound
a my in pain i hard stomach have,Stomach ache
My joints feel feel swollen,Joint pain
I can't walk because i have a great foot ache,Foot ache
It feels like someone is hitting my with a I feel pain on the of my head and throbs.,Head ache
I have a headache almost every day,Head ache
"iodine cough angstrom batch when iodine smell perfume, what be wrong with my lungs?",Cough
"i walked a long for 3 km, i feel pain in my iodine foot like foot ache",Foot ache
I pain in my back,Back pain
"[""My bscm h&rtZ me and i can ' t bDgd it or 1a;k""]",Back pain
I blurred vision. have,Blurry vision
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound
iodine need angstrom kind of cream wich brand my muscle More relax,Muscle pain
When I eat sugar I notice my vision blurs.,Blurry vision
"[""i can ' t rltxte my jeXk""]",Neck pain
My husband has a spot on his lip he though was cold sore but now it has open and all day.,Infected wound
iodine use alot of pain killer to get better merely iodine still feel the Lapp back pain,Back pain
['I have a skin %ast Sf5er SAting an ice - crDaJ.'],Skin issue
My knee hurts when I play squash,Knee pain
feeling nauseous I'm,Stomach ache
I have shoulder pain when I try to carry my groceries.,Shoulder pain
I have a lot of mucus when I cough.,Cough
When I wake up up I am feeling cold,Feeling cold
my I pain head a in have,Head ache
His infected wound was beginning to rot.,Infected wound
stand feel I I'm quickly as When faint. though to too up going I,Feeling dizzy
When iodine lift my weaponry up iodine rich_person angstrom tenderness inch my shoulder,Shoulder pain
taking cant hurt I take something feel me breath in and my breath I,Hard to breath
My heart feel like it's departure to explode.,Heart hurts
There is so much pain when I move my arm.,Shoulder pain
['My MeAd yur$s in the back and the paKB Kas$s all day.'],Head ache
When i'm driving my eyes see in double,Blurry vision
"['I vedl a clicking sdnsatKoB in my ,Jee easu time I step.']",Joint pain
My television and computer rich_person seem out of focus even though I have new glasses.,Blurry vision
I think my wound is infected,Infected wound
Hearing any loud sounds makes my ear aches,Ear ache
feel strong pain in my knee after it was hit during the football match.,Injury from sports
I eat too much sugar my body gets and,Body feels weak
"[""I don ' t bZve the enD5gy to do the thOHgs tya$ I *eed to""]",Body feels weak
My wound was infected when i was planting some flowers in my garden,Infected wound
"ice sister to chilly, warm that several cover enough. she cube. an said is like I My feel blankets needs her so that she",Feeling cold
"When iodine base up, iodine feel like I'm departure to fall down immediately",Feeling dizzy
I hit myself and the would doesn't want to privation heal,Open wound
Chronic disease of hair follicles and sebaceous glands,Acne
"[""I f4e< like I wWBt to an ackp^nDtu%e ' s prwct9ve and had 100 n3eFl#s in my Dhkuld$r""]",Shoulder pain
nauseous I'm feeling,Stomach ache
"The pain is intense especially when I go down the iodine stairs, it feels like something has snapped inside my knee.",Knee pain
['My back uurgs a lot qUen I beHv'],Back pain
['My stomach fe4.s starts hur4(mg but then it D2els better aDteF I eat something mLod.'],Stomach ache
face My cycle. out break every my around badly month,Acne
iodine feel dizzy when iodine brand sudden motion,Feeling dizzy
iodine rich_person angstrom dull ache inch my stomach. information_technology get worse after iodine eat.,Internal pain
['I B@el sKkDthing uuTt me in taking breqtJ and I cant Yske my breath'],Hard to breath
to when above something My my head. hurts I reach try shoulder,Shoulder pain
frequently break very face out I my on,Acne
"The last I clipped my toenails, cut them too short and now I have an infected nail.",Infected wound
My body feels like inch it's in a refrigerator.,Feeling cold
['I Yade a sharp 0Sin in my Meci'],Neck pain
My heart feel like it's departure to explode.,Heart hurts
I have tried to make massage on my foot but they still pain me,Foot ache
['i have UnjuteF myself d*rinf the coScer match'],Injury from sports
I feel pain in my back,Back pain
My son get angstrom tattoo several week ago and the skin about information_technology be raise and hot and information_technology expression infected.,Infected wound
iodine feel head ache,Head ache
I have a head pain every single day.,Internal pain
['I GeeP incefwsed heart rate SitJ prick'],Heart hurts
I nose having running am,Feeling cold
My had a root canal and the dentist cut the inside of cheek and now it not heal.,Infected wound
['Tbe5e is a zha$p pain in my ear wyDnfver I do tTls.'],Ear ache
"has don't I face seem and in red spots clean away. that how broken be out face much no lumps, going to My matter my painful",Acne
i have shoulder pain doing home work.,Shoulder pain
iodine feel congestion inch my thorax,Cough
"[""My Gadk h7rhs so KuSh I can ' t Nrnd down to tie my choelSves.""]",Back pain
['I have a foot Adhe after r*nMinR 500m w&tj my running sjods.'],Foot ache
['I hzvr a ear aXhs whwm I go to the )oo.'],Ear ache
not I do not know why I feel cold,Feeling cold
I feel great pain in the head head,Head ache
i sleep because of,Cough
stand with this horrible in my shoulder,Shoulder pain
"['I fFe, a laiG in my baVl']",Back pain
iodine i feel pain in my foot,Foot ache
When iodine base up excessively quickly iodine start to feel dizzy and faint,Feeling dizzy
i have a pain hard pain in my stomach,Stomach ache
my I yesterday. lost iodine,out of context
I toppled over while jumping to catch the ball.,Injury from sports
['my ear Yurtc me bAdKy'],Ear ache
suffered a in my hand I can not stop the bleeding,Infected wound
iodine doomed my key yesterday.,out of context
I have an ear ache ache when showering,Ear ache
I have a blurry vision after my head was hit yesterday.,Blurry vision
iodine feel pain when iodine think of her,Emotional pain
The train an hour.,out of context
me ankle is my hurting,Joint pain
I have lot mucus when I cough.,Cough
I have tried to relief it but rich_person I can't,Body feels weak
my left aches much,Internal pain
"Sometimes when it is my hurts, especially around the pimples ready pop.",Acne
"The last time I clipped my toenails, I cut them too now short and now I have an infected nail.",Infected wound
my shooting get bend I over down a When back pain I,Back pain
I feel cold although feel we are in summer.,Feeling cold
I cannot get warm no matter how much I wrap up or how high I put the heating on,Feeling cold
iodine rich_person angstrom feeling like my whole body be complain,Joint pain
"The stopping_point time iodine nip my toenails, iodine cut them excessively short and now iodine rich_person Associate_in_Nursing infect nail.",Infected wound
I feel like I went to an acupuncture's practice and had 100 needles in my shoulder,Shoulder pain
iodine rich_person angstrom throb inch my joint,Joint pain
severe pain inch the upper_berth left side of thorax and May rich_person pain to back,Heart hurts
i have injured rich_person myself during the soccer match,Injury from sports
My heart hurts injury when I exercise,Heart hurts
my hair isn't well,Hair falling out
I carried a bag yesterday and when I get up today I felt shoulder pain.,Shoulder pain
['My hao4 is falling out in hun# ajoJnt'],Hair falling out
My shoulder hurts when I try to reach something above my head.,Shoulder pain
bad this The was morning. really traffic,out of context
I tried to put my glasses to see more clear but cant find any change,Blurry vision
My sore isn't well been like this for two weeks.,Open wound
termination I have a problem in the expiration because i have abronchial asthma,Hard to breath
so many Every hair there hair comb comb. I time my my are in,Hair falling out
"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough
head My head gets dizzy when I try to get up.,Feeling dizzy
want myself would and to I heal doesn't hit the,Open wound
It's hard to see things,Blurry vision
I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.,Open wound
iodine read angstrom book for along time and when iodine complete reading iodine feel head ache,Head ache
i feel head head ache,Head ache
breath when to chest I a My go hurts take,Hard to breath
"iodine can't move my leg, there be pain inch the joint",Joint pain
I feel abdominal pain,Stomach ache
When think of my I feel pain,Emotional pain
The sunset Washington beautiful stopping_point evening.,out of context
i have a problem seeing objects it is too difficult to see,Blurry vision
Is pimples a skin disease?,Acne
I feel a lot of pain in the joints.,Joint pain
It hurts when I bent my arm,Joint pain
Even if the high in the my is always cold,Feeling cold
"[""When i ' m wrivOnF my 4y$s see in do&bls""]",Blurry vision
"am always layers I even cold, wearing am I when",Feeling cold
feels like my heart to leap out of my body. It hurts.,Heart hurts
tonic using hair tonic,Hair falling out
['My son had his lip oiDDced and it is qw8llfn and the soKn KnsiXe on his lip is Fre5 and Kokks inVec$es.'],Infected wound
iodine Washington very active_agent inch sport merely now my body be feeling pain.,Injury from sports
['fell skull is craxkwS like Gjts'],Head ache
I'm having hard time hearing.,Ear ache
i can't see well,Blurry vision
my ear injury Maine badly,Ear ache
['I fes; pain in my sToulefrs Ah2n I eritD on the keyboard.'],Shoulder pain
"After playing tennis, I had a powerful sensation close playing to my neck",Shoulder pain
sometimes iodine feel like angstrom claw on my thorax that leaf Maine breathless.,Hard to breath
['I feel fiSzy qMen i make shddeM movements'],Feeling dizzy
sore My its healing well. like looks not,Infected wound
The area about my heart doesn't feel good.,Heart hurts
When iodine play sport iodine rich_person some burning sensation inch my spinal_column,Back pain
['I feel pZKn ahem i YGink of her'],Emotional pain
iodine frequently get angstrom sharp pain inch my thorax and iodine can't Tell what I'm make that might beryllium trip it.,Heart hurts
i have a great pain in foot like with my pain releif,Foot ache
I enjoy reading books in my free,out of context
downtown? new the Have restaurant tried you,out of context
['discomfort or pain %nat is f4l4 at some point AlonF the cfont of the body between the beFk and u)pe$ Abdim#n.'],Internal pain
I have a powerful pain inside my powerful neck,Neck pain
I lose a lot of my hair,Body feels weak
When I tried to be warm and wear more clothes I found that I was still cold,Feeling cold
which the after be often I might able I a stomach trigger. eat. ache I been foods haven't to pinpoint get,Stomach ache
Hearing any loud sounds makes my ear aches,Ear ache
['5herD are AomF Okmp>es on my face that fotBer me a lot'],Acne
iodine feel pain inch my shoulder when iodine write on the keyboard.,Shoulder pain
after severe diarrhea i feel dizzy,Feeling dizzy
['My hq8r is fal<ihN out in bihcheq.'],Hair falling out
The knee feel like information_technology corrode and iodine suddenly cannot bend information_technology anymore.,Knee pain
"[""My knee doeDj ' t wqn$ to bend we.O.""]",Knee pain
When get up iodine found that iodine rich_person angstrom stomach ache and iodine try to return medecine merely my stomach still pain Maine,Stomach ache
I suffered a deep wound in my hand and I can not stop the bleeding,Infected wound
clear is blue and sky today. The,out of context
I feel lightheaded faint,Feeling dizzy
information_technology feel like iodine can't return angstrom deep breath,Hard to breath
When I stand up too up quickly I start to feel dizzy and light-headed,Feeling dizzy
After a breakup  I feel something strange in me.,Emotional pain
iodine rich_person angstrom dull ache inch my lower_berth back which brand information_technology difficult to move,Back pain
My nose is congested all the time and there's this gluey secretion in my throat that makes it impossible for me to sleep. I often have to nap sitting down.,Hard to breath
phine I call found tried the I answer can't the hear of speaker When that voice I to the,Ear ache
My calves tight feel like they are tight as knots and are throbbing,Muscle pain
My cough is very very heavy and I have mucus.,Cough
['I have a very rash seJsa^iKn cooxe to my qdms'],Skin issue
Is pimples a skin,Acne
['i have distS3bajc@ in my eNphion'],Emotional pain
My feels like is grating bone on bone when I walk.,Knee pain
my abdominal muscles have great pain since i was at GYM,Muscle pain
There is an,Infected wound
"['aurgoxal wounxz red, firing pus, OzUnful and hot to the 6oKch']",Infected wound
['My cjesH nurys when I go to take a Fgeath'],Hard to breath
cut foot at pool and it breaks open every day when I walk on it.,Open wound
toes reopens a gets dress ever wear I work. and I better my shoes then between have wound overnight that to day when,Open wound
I hate my acne.,Acne
Surgical wound infections,Infected wound
I get i joint pain when i try to bend my leg or my arm,Joint pain
I feel a in my chest,Hard to breath
iodine feel injury inch my heart,Heart hurts
My a lot bend hurts back when I,Back pain
skin is itchy inflamed,Skin issue
I have rich_person pain in my stomach,Stomach ache
I have a headache every I eat cream,Head ache
iodine feel suicidal.,Emotional pain
I can hardly move my neck.  It hurts.,Neck pain
iodine frequently get angstrom stomach ache after iodine eat. iodine haven't be able to pinpoint which food might beryllium the trigger.,Stomach ache
I often get a stomach ache after I eat. been which might be the trigger.,Stomach ache
['I had a pq*n in my unWe ah3n I was sAUKming'],Knee pain
day walk it. my every open and pool foot I breaks at when the on I it cut,Open wound
"i have whooping cough with excess mucous, need mucolytic.",Cough
tried you restaurant the downtown? Have try,out of context
i neck have difficulty moving my neck,Neck pain
can't see well i,Blurry vision
['I bewl hurts in my Bdart'],Heart hurts
slept my I like in when wake wrong. Every I feels neck on up morning,Muscle pain
was playing my soccer and I ankle I twisted,Injury from sports
"My stomach aches when I eat hot food, why?",Stomach ache
ache move it lower my to have makes back dull in difficult a which I,Back pain
pain a I feel bone-on-bone in climb I knees when stairs. my,Joint pain
chronic disease of hair follicles glands.,Acne
"When I stand up, I feel like I'm immediately going to fall down instantly",Feeling dizzy
"iodine Washington diagnose with B12-deficiency anemia, which explain why iodine always felt cold.",Feeling cold
could because knee my of exercise not I pain,Knee pain
I've be over my cold for week merely still cough every day.,Cough
I need to water my plants regularly.,out of context
When I carry heavy things i feel like breaking my back feel,Back pain
iodine feel that be great pain inch my left shoulder,Shoulder pain
have I sharp my neck a pain in,Neck pain
I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue
is there acne on face my,Acne
i have a hard pain in my stomach,Stomach ache
When I wake up I am feeling cold,Feeling cold
['I Navd tnus strange rsDh on my arm.'],Skin issue
right but visited the toget find doctors my hair back I they many can't treatment,Hair falling out
I have a on my foot that became infected from using the the,Infected wound
I feel a sharp pain in my head when I think too hard.,Head ache
['I yr7ed wOot of cream but i still ve3l the same skin ltonlem'],Skin issue
"skin Laceration, rupture or opening in the skin",Open wound
iodine rich_person Associate_in_Nursing ear ache that won't go away. iodine don't rich_person angstrom cold Oregon concern Oregon any other symptoms. just Associate_in_Nursing earache.,Ear ache
I eating feel a sharp pain in the stomach after eating,Stomach ache
"['My hesX yuEts in the bzc, and the laih lasts all day.']",Head ache
['My TPot hurts me a lot of (lXhing foptbWOl'],Foot ache
Pain in the large neck,Neck pain
iodine feel congestion inch my thorax,Cough
pain Stomach drinking after milk,Stomach ache
Mr hair is falling out just by combing it.,Hair falling out
"[""I ' m not f$elKjg good I get inC2ctuon woHnf""]",Infected wound
When I stand up too quickly I feel as though arsenic I'm going to faint.,Feeling dizzy
I got a divorce last year stop and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain
My hurts so much I can't bend down to tie my shoelaces.,Back pain
I used alot of pain killer to get better but i still feel the same back pain,Back pain
i have pain but i can't specify place,Internal pain
cause My infected wound cause fever,Skin issue
knee bend I and rusted it The feels cannot like it anymore. suddenly,Knee pain
I think I overdid it when I carried iodine all that lumber from the yard. My lower back is killing me.,Back pain
I have a pain in my muscle,Muscle pain
When knee. I from had injury was I an my young in sports,Injury from sports
my hair isn't well,Hair falling out
"when i get up, i feel dizzy and fall",Feeling dizzy
The movie I was watched amazing.,out of context
My head ache since head I woke up this morning.,Head ache
I have pain when try to carry my groceries.,Shoulder pain
The worst headache was during a in twenties: I sincerely thought I going to die from brain,Head ache
pain like i my needles in joints. have,Joint pain
iodine rich_person issue with my skin,Skin issue
['Wueh my grand father died I felt a hzrX ekotioHa/ Laig'],Emotional pain
Even though I'm an adult my face inch keeps breaking out in pimples.,Acne
have head my I a game. at Could the concussion? basketball hit I,Injury from sports
"laceration, rupture or opening opening in the skin",Open wound
"It started as a tinnitus, but today the pain is throbbing and unbearable.",Ear ache
iodine interruption out on my face very frequently,Acne
mountains. love the inch departure iodine hike,out of context
cake The made delicious. out we,out of context
"['Every $lme I mWkW an effpFt, I felt diSxy.']",Feeling dizzy
I have a scab on on the back of my hand that just won't go away.,Skin issue
I in my chest,Cough
There is a sharp pain in my calve.,Muscle pain
a I ankle when in sharp feel my stand. pain joint I,Joint pain
When get up I found that I have a stomach ache  and I tried to take medecine but my stomach still hurting me,Stomach ache
When i'm wake_up inch the morning iodine feel strange and rich_person dizziness,Feeling dizzy
My body feels weak and i think that my face is fade and i can't sleep well,Body feels weak
iodine rich_person angstrom cut that hour_angle become red and sludge puss.,Infected wound
I feel iodine a clicking sensation in my knee each time I step.,Joint pain
"iodine Washington playing basketball yesterday, iodine rich_person twist ankle",Injury from sports
i feel,Body feels weak
['I feel pSij wJem i th7nm of her'],Emotional pain
cheeks What spots is my new. These it? are red on,Skin issue
"[""I hwvR a FreaR Wt0mavh acTd and i can ' t eat any 5hiBg""]",Stomach ache
"['I have a baV, pain sijc2 I turgeX 70 JearA old.']",Back pain
['i feel Oaig in my st0msDh'],Stomach ache
['My Nodh aches on the inside fetwDeB my hkOs and Ch*uldsrs.'],Internal pain
I feel When I down her remember,Emotional pain
I feel a clicking sensation in my knee each time I step.,Joint pain
All of a sudden I felt dizzy iodine when I stood up.,Feeling dizzy
I think there's inch fluid in my ears.,Ear ache
i have muscle pain at my left leg.,Muscle pain
of back. I clusters blackheads and get whiteheads on my,Acne
have split on thumb that will not heal.,Open wound
iodine feel congestion inch my thorax,Cough
iodine rich_person angstrom rash on my skin,Skin issue
I always feel like I have menstrual pains even if I don't have my period.,Internal pain
"[""I hagd ttiSd to reljrf it but I can ' t""]",Body feels weak
iodine feel pain inch my knee when iodine ascent the stairs.,Joint pain
My son have his lip pierce and information_technology be swell and the skin inside on his lip be Grey and expression infected.,Infected wound
feel suicidal.,Emotional pain
something I I've in got feel always throat like my,Cough
['I think I sLrainWW my qn>le it reaP>y hurts.'],Injury from sports
['i have *njuEeW myself during the xocc$r hatcn'],Injury from sports
my ankle is hurting me,Joint pain
iodine rich_person angstrom dull ache inch my head,Head ache
"It is hard to breath when I am difficult in the underground metro station, why?",Hard to breath
When driving my eyes see in double,Blurry vision
I feel increased heart rate with prick,Heart hurts
When i'm doing sport I have pain nether under my skin,Muscle pain
get up. My when is I spinning head,Feeling dizzy
I feel weak all over.,Body feels weak
information_technology scabies inside my ears.,Ear ache
of pain I joints. feel the lot a in,Joint pain
iodine transport angstrom heavy bag yesterday and when iodine get up today iodine felt angstrom great shoulder pain.,Shoulder pain
"aches stomach food, I eat when hot why? My",Stomach ache
worse after It I my I stomach. eat. ache have in dull gets a,Internal pain
When I eat too much sugar my body gets weak and dizzy.,Body feels weak
the to beach went last weekend. I,out of context
I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.,Infected wound
neck I feel a pain in my neck,Neck pain
['I GaFe a j3ad pain every s(nRle day.'],Internal pain
"My body feels weak after my first day inch in the gym, why?",Body feels weak
"['I get a ,n2e OaiH when I wXlM a lot']",Knee pain
I in,Back pain
"After playing tennis, I powerful close to my neck",Shoulder pain
having hearing. I'm time hard a,Ear ache
['My goSy acueC on the inside NetqeeG my G*ps and shoulders.'],Internal pain
My sore looks like its not healing well.,Infected wound
I feel like the room,Feeling dizzy
"I get tired too fast, I can barely put on my clothes can in the morning.",Body feels weak
['I fDe? a great amo*jt of pr#seurs of my h@Wd.'],Head ache
wish this excruciating feeling of loss go away.,Emotional pain
iodine visit many doctor merely they can't discovery the right treatment toget my hair back,Hair falling out
just is my cut infected or just healing?,Infected wound
I can't sleep I have a hard cough,Cough
feel went to an acupuncture's practice and had 100 needles in my shoulder,Shoulder pain
a feel pain neck my I in,Neck pain
When I sneeze very hard I feel ear ache,Ear ache
"When iodine go to stand, my head start twirl",Feeling dizzy
I'm not hearing well iodine rich_person problem with my ear,Ear ache
I feel a emotional after broke up my girlfriend.,Emotional pain
is My skin itchy inflamed and,Skin issue
iodine feel like the room be spinning,Feeling dizzy
I feel like I've always got something in my throat throat,Cough
['I habf sWBere shoulder pain'],Shoulder pain
"After playing tennis,  I had a powerful sensation close to my neck",Shoulder pain
My foot injury Maine angstrom batch of playing football,Foot ache
"I am always cold, even when americium I am wearing layers",Feeling cold
wish this excruciating could go away.,Emotional pain
"I stand up, I feel brain is moving inside my skull.",Head ache
have a very rash sensation to arms,Skin issue
I have shoulder pain when I to carry my groceries.,Shoulder pain
['EBwry time I take a deep b5eaHh I start coKfYing'],Cough
my hair isn't well,Hair falling out
['I feel a bGeat pain in my sho6ldsT Ehej i try to ?ifG so<Rthibg heavy'],Shoulder pain
"Laceration, rupture Oregon opening inch the skin",Open wound
"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough
i have neck difficulty moving my neck,Neck pain
iodine rich_person angstrom sharp pain inch my neck,Neck pain
"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough
my abdominal muscles have great pain since i was at abdominal GYM,Muscle pain
I feel a pain in my neck,Neck pain
"iodine feel chilly, like Associate_in_Nursing ice cube. My sister state that she need several blanket to screen her sol that she be warm enough.",Feeling cold
When I get out of bed in the morning my body feels very weak.,Body feels weak
"[""I can ' t stand 3ity tu9s horrible feWkKng in my sYo tldfr""]",Shoulder pain
iodine buzzword breathe,Cough
When I play football I have muscle pain.,Muscle pain
torn have How you in if meniscus you a your do know knee?,Knee pain
i'm I my when knees have some pain walking around,Joint pain
I can't get a girlfriend because of my,Acne
When I stand I feel dizzy I do know why,Feeling dizzy
shoulder a muscle. I burning my in feel sensation,Muscle pain
i have shoulder pain after doing any home work.,Shoulder pain
red flushes accompanied with itchy,Skin issue
iodine rich_person angstrom dull ache inch my head,Head ache
The sky sky is blue and clear,out of context
I'm having hard time reading because letters all fuzzy,Blurry vision
injured lifting back while My gym the i got at was,Injury from sports
"iodine feel like iodine just can't header anymore, iodine feel overwhelm and like iodine just can't get angstrom break.",Emotional pain
"my child cough all night,",Cough
In the morning my respiration is loud. morning,Hard to breath
When iodine bash difficult exercise iodine feel great pain inch my muscles.,Muscle pain
up today when felt I carried a great pain. and I heavy bag shoulder yesterday a get I,Shoulder pain
i have a pain in my elbow joint,Joint pain
iodine can't move my head up and down.,Neck pain
['In minhscyool I had a lot of acg4.'],Acne
I When her I feel down remember,Emotional pain
pain i in feel my stomach,Stomach ache
I have a strange rash iodine on my arm,Skin issue
I know cold I feel do why not,Feeling cold
My knee catches and hurts when I first stand up after sitting.,Knee pain
My muscles in my lower inch back are aching.,Muscle pain
decrease an close. I at noticed I up things when in look to vision important my try,Blurry vision
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound
could of exercise I pain my knee because not,Knee pain
I my stomach a pain sharp had in,Stomach ache
When I stand up too quickly I feel as though I'm going to faint.,Feeling dizzy
have a migrain and i took panadol but it doesnÕt,Head ache
When I get out of bed in the morning my body feels very weak.,Body feels weak
Stomach pain after drinking after milk,Stomach ache
Severe pain in the ear severe,Ear ache
i can't move my shoulder because of pain,Shoulder pain
lost my yesterday. keys I,out of context
my open wound infected,Infected wound
iodine feel ache on my insides.,Internal pain
['My chest acGd br3aUs out and never Vl4ars up.'],Acne
i have issue with,Skin issue
"['Have severe co,V and ckuYh']",Cough
My biceps biceps started aching after I went to the gym,Muscle pain
My heart is pumping fast and having a hard time to,Hard to breath
iodine feel pain when iodine think of her,Emotional pain
in my,Foot ache
cloudy eyes have I,Blurry vision
I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.,Stomach ache
['I bavd blurred viskKn.'],Blurry vision
iodine travel to the beach stopping_point,out of context
My iodine kneecap feels like it is grating bone on bone when I walk.,Knee pain
i have a pain in my trapes,Muscle pain
iodine can't move my shoulder because of pain,Shoulder pain
['I f@#l like my hSArt is on fKFe.'],Heart hurts
"My heart injury while I'm sad, why?",Emotional pain
iodine rich_person angstrom ear ache when iodine go to the pool,Ear ache
i feel pain feel in my stomach,Stomach ache
iodine rich_person pimple inch spot along with angstrom batch of inflammation on my face.,Acne
feel severe itching in the skin with redness,Skin issue
a hard having time hearing. I'm,Ear ache
hearing any loud sound brand my ear ache,Ear ache
iodine feel sad,Emotional pain
['I feel shkilwer pAUn at intervals of rimF.'],Shoulder pain
"['My stomach adNes aE^er I dTiBk any soda Wrjnk, why?']",Stomach ache
I cannot bear this squeezing sensation I have in my chest.,Heart hurts
My skin is itching.,Skin issue
I eyes have cloudy,Blurry vision
My hair is falling out in huge amount,Hair falling out
I feel a tightness in my chest,Hard to breath
My throught be sol sore.,Neck pain
I cannot get warm no matter how much I wrap up or how high I put the heating on,Feeling cold
['My wound was iHfecg4d whdB i was plqntimN some fllw2Ds in my garden'],Infected wound
"[""When i ' m do9Bg sLPrt I have pain ujdeT my sikn""]",Muscle pain
I can't really jump on truly my left foot because my triple fracture of the ankle left me with neverending pains.,Foot ache
"My mind feel very sad, arsenic if information_technology hurts. The manner iodine feel inch my head be atrocious and when iodine think about my break-up, iodine cry with sadness.",Emotional pain
traffic morning. bad The was this,out of context
iodine feel sad,Emotional pain
When i'm awake in the morning I feel strange and have iodine vertigo,Feeling dizzy
My hurts lot when I,Back pain
I can't carry anything I have a pain in my shoulder,Shoulder pain
I iodine can't stop coughing,Cough
I can hardly move my neck. It,Neck pain
iodine feel like something be squeeze my lungs.,Hard to breath
patches I get and hurt. back they my of pimples irritated big on,Acne
i have a problem in my back i cannot angstrom extend it,Back pain
When I eat too much sugar my body iodine gets weak and dizzy.,Body feels weak
my neck swelling hurts. There's and it in,Neck pain
I feel a great amount of pressure on the sides of my neck,Shoulder pain
blurry after my have head hit vision yesterday. I was a,Blurry vision
There is an person,Infected wound
i feel pain my,Back pain
Everything looks inch like beeing in a smoky area.,Blurry vision
iodine get Associate_in_Nursing ear ache when information_technology be cold,Ear ache
