phrase,prompt
['My chest acGd br3aUs out and never Vl4ars up.'],Acne
I feel a great pain in my shoulder when attempt i try to lift something heavy,Shoulder pain
hand wound got infected,Infected wound
My thorax interruption out with red pimple and whiteheads.,Acne
I injure got injured exercising,Injury from sports
iodine feel head ache,Head ache
"[""I can ' t really ku,p on my left RoIt befz8se my triple f4ad5ure of the ankle leey me 3itj neverending pSuns.""]",Foot ache
My body aches on the inside between my hips and shoulders.,Internal pain
I feel pain on in my shoulders when I write on the keyboard.,Shoulder pain
every time iodine return angstrom deep breath iodine start cough,Cough
terrible headaches every few and when I them my is affected.,Head ache
What's the symptom of appendicitis?,Internal pain
i feel feel pain in my neck,Neck pain
my other in I my itching problema and acne derma have face in like,Skin issue
['MeRd to scratch my Auin every ninKte'],Skin issue
['I have wgoulEer 9Sin when I try to cwr5y my grode4ieX.'],Shoulder pain
have mucus. and is I heavy cough very My,Cough
iodine feel pain inch my foot,Foot ache
['discomfort or pain %nat is f4l4 at some point AlonF the cfont of the body between the beFk and u)pe$ Abdim#n.'],Internal pain
have my after stomach. dull worse in eat. It gets I I ache a,Internal pain
I iodine feel lightheaded,Feeling dizzy
I think my wound is infected,Infected wound
iodine rich_person some awful problem when i'm breathing during the night.,Cough
I complain alot with my neck pain and i really need to be better,Neck pain
"['Shwn I go to EtaJd, my b$ad starts swirling']",Feeling dizzy
The doesn't my heart area good. feel around,Heart hurts
I have a hard muscle pain since i went to gym,Muscle pain
feel a burning sensation in shoulder,Muscle pain
the feel knee in I pain,Knee pain
My aching since last Tuesday.,Foot ache
I can't stand up or sit down I have a pain in my back that annoys me,Back pain
['i feel (Ain in my kHe4'],Knee pain
['I have a NQck OaiM xiHce I fepp on the floor.'],Back pain
I I pain walk feel a lot heart when,Heart hurts
I was kicked in the head soccer last night.,Injury from sports
['I feel sometjOnY yuft me in taking breA$h and I sxnt gAke my breath'],Hard to breath
['The aXn$ was causing me to f22l s<barraEs3d.'],Acne
"[""WGsn I ' m too huyh I Xtaet to feSk dizzy""]",Feeling dizzy
"['I Ree, a G trn8ng senea5ioM in my guts zhout 2 hours aEt4r each meal.']",Stomach ache
visited many but they can't find treatment my hair back,Hair falling out
iodine cut my foot astatine the pool and information_technology interruption open every day when iodine walk on it.,Open wound
I'm not good feel i feel dizzy,Feeling dizzy
iodine rich_person angstrom sharp pain inch my ear,Ear ache
Chronic bowel Pain,Internal pain
['i haG4 a MarW lAin in my stomach'],Stomach ache
I feel pain in my neck after waking up,Neck pain
My back is hurting so much.,Back pain
After an foot hard working day I have foot ache,Foot ache
feel My heart feels like it's going to explode.,Heart hurts
"My body feels weak although I eat a lot, why?",Body feels weak
"[""My jexrt feWlD lilf it ' s H)ing to explode.""]",Heart hurts
Pain in the large neck,Neck pain
['I feel cKNething hurt me in takihy brsatY and I caBF Yske my breath'],Hard to breath
pain breathing Sharp heavy and,Internal pain
My back get injure while iodine Washington raise astatine the gymnasium,Injury from sports
I usually have a bad cough when I get flu.,Cough
cause There is pain in the muscles I do not know caused,Muscle pain
When I I feel like I'm going fall instantly,Feeling dizzy
I have on dark spots on my skin,Skin issue
my had since bike pain I I fell and off then knee hard,Knee pain
"[""My ear h trrs and it ' s wo4qe wYej I cwQllKw. My ear is berg pWinrhl and Ty>Wn8l hasn ' t TFlped.""]",Ear ache
I iodine have a mental suffering,Emotional pain
lightheaded I feel,Feeling dizzy
"I've tried books, but nothing up.",Emotional pain
I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain
['I rFel so soF$ in my stomach w#ea.'],Stomach ache
"['My heWV h8rys and I lIs3 the sRnsStuon in my faDF, then lose AiRht in my eye']",Head ache
My heart hurts when I exercise,Heart hurts
"My face hour_angle interrupt out inch painful red musca_volitans and lumps, that no matter how much iodine clean_and_jerk my face don't look to beryllium departure away.",Acne
I hve cut finger because playing and I to apply pain relief cream but does not help,Injury from sports
I have shooting pains up and down my back.,Back pain
I had a cut that stitched but is not healing. It is oozing green and burns.,Infected wound
It is like I have a acerate_leaf needle pushing through my heart.,Heart hurts
When iodine base iodine feel dizzy iodine bash not know why,Feeling dizzy
and skin itchy is inflamed My,Skin issue
angstrom I had a cold the last time I travelled by plane and I still have a discomfort in my ears.,Ear ache
['I yaBe a (a9n in my yfad'],Head ache
I have internal pain whenever I come down with a cold.,Internal pain
I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.,Foot ache
i can't move my shoulder because of pain move,Shoulder pain
['I feel .ime my hRar4 is on fUrs.'],Heart hurts
rash this strange my I on arm. have,Skin issue
wound an must a doctor i see open I have,Open wound
I have a break in the skin between my volition thumb and index finger and it will not close.,Open wound
A terrible fall in hair,Hair falling out
My entire body is freezing.,Feeling cold
['I Gavf a $asN on my sIJn'],Skin issue
I when have ache showering ear an,Ear ache
I read a book for along time and when I finished reading I feel head ache,Head ache
My knee doesn't want to bend well. privation,Knee pain
When I remember I feel,Emotional pain
iodine Washington travel by ship and iodine feel dizzy.,Feeling dizzy
['All of a sHSden I f3l% Xizz& when I stoPf up.'],Feeling dizzy
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does Department_of_Energy not help.,Muscle pain
"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain
['2heb I eat Q7gar I notice my v&siPn blurs.'],Blurry vision
['I Nafe a (aiB in my musSld'],Muscle pain
"['I couHt a lot wh#G I smell perfume, whzg is wr9nv with my luntc?']",Cough
"[""I ' m gavung a hw5d t9mD reading beXsuXe the l@6terD are all fuzzy""]",Blurry vision
feel I feel suicidal.,Emotional pain
i that shoulder pain is left great in feel my,Shoulder pain
I feel pain when parting loved ones,Emotional pain
I cut my hand a couple of weeks ago and even though I antibiotic keep using an antibiotic cream it's not getting better.,Infected wound
I strong pain in my knee after it hit during the football,Injury from sports
my shoulder is hurting me,Shoulder pain
The severe pain in the pain stomach I feel,Stomach ache
pain I whenever I internal cold. have a with down come,Internal pain
There is pain in my joints. I can not bear pain,Joint pain
"[""It f$Wls like I can ' t Hak4 a dD4p bdsath""]",Hard to breath
I feel aching on on my insides.,Internal pain
I feel like l fell in hot water,Skin issue
i have a great pain in my foot pain like thrombing pain with relaxing my pain releif,Foot ache
['My thro8tBt is so slEe.'],Neck pain
keep focus Can't,Head ache
"like knee. has when I pain feels something intense stairs, snapped down inside go The the especially it is my",Knee pain
I feel like I went to an acupuncture's practice and had 100 needles in my shoulder,Shoulder pain
my left left side aches much,Internal pain
"My body feel weak although iodine eat angstrom lot, why?",Body feels weak
"[""I hsge some tdrrib<f prpVl2ms 3men i ' m breathing duribR the night.""]",Cough
When i'm awake in I feel and have vertigo,Feeling dizzy
pain shoulder my in carry I have I a anything can't,Shoulder pain
['I feel pSiM in my throWr'],Cough
After eating  I have burning sensation inside of me.,Stomach ache
['2hwn my grZbd father WieS I ReKt a hard emotional pain'],Emotional pain
I feel dizzy whenever I stand up.,Feeling dizzy
get I got acne when I ate chili,Acne
"I have a blurry vision during my swimming training the pool, why?",Blurry vision
still same of alot pain i better feel pain to the back I get but killer used,Back pain
"I when I in-front my laptop for an hour or two, what could be the reason?",Feeling dizzy
i have a problem in my back i cannot extend it,Back pain
every time iodine expression to left iodine feel angstrom sharp pain inch my neck.,Neck pain
['I fFe: >kke the room is QpinjiMg'],Feeling dizzy
There is so much pain when my,Shoulder pain
red flower attach_to with antsy,Skin issue
hair My hair always falls out and i have lost a lot of hair lately,Hair falling out
I it and can inside I feel not identify pain,Internal pain
feels like knife into someone It my stuck shoulder a,Shoulder pain
iodine can't walk because iodine rich_person angstrom great foot ache,Foot ache
I had an accident and my wound was open when I arrived to hospital,Open wound
My hair is falling out in bunches.,Hair falling out
"['revJezs, qwrll&ng, and difficulty wWPkijg']",Knee pain
My cut yellow or greenish-colored pus,Infected wound
"my child has cough night, she can't sleep",Cough
['I feel pakH *nsid# and I can not 8xen$ify it'],Internal pain
I have a neck pain when I sit in-front of my laptop.,Neck pain
"with are to my even socks There circulation, I be must my wear on frozen! something toes hottest wrong blood days, have the",Feeling cold
when iodine widen my leg there be pain inch knee joint,Knee pain
['SoN@timrs I ff@l l(kW a cPww on my chest that lfav2s me breathless.'],Hard to breath
I inch have a sharp pain in my neck,Neck pain
I feel great pressure in my chest,Hard to breath
"['My gaJr is coming out in chunks, eepeViall7 wMeb I saah it']",Hair falling out
a doctor an wound must open see i have I,Open wound
I have a pain internal,Internal pain
iodine rich_person general discomfort inch my torso.,Internal pain
['My shoulder hur4W when I try to reaXy xometjimg ZboFe my head.'],Shoulder pain
I shoulder pain severe have,Shoulder pain
I have a rash and angstrom it itches very bad.,Skin issue
['I have teTrigls pXih in my yRart'],Heart hurts
I feel very body weak in my body,Body feels weak
Is pimples a skin disease?,Acne
helium Washington detect to rich_person Associate_in_Nursing open wound.,Open wound
iodine rich_person some pain when i'm walk about my knee,Joint pain
My hair be fall out inch huge sum,Hair falling out
The joints in my fingers are painful in the,Joint pain
"[""aheM I ' m tired I feel my Yrad M#avy""]",Head ache
My foot injury and iodine can't bend it. possibly it's broken.,Foot ache
i feel pain in my neck,Neck pain
pain I feel shoulder pain at intervals of time.,Shoulder pain
iodine feel angstrom huge emotional pain after iodine interrupt up with my girlfriend.,Emotional pain
iodine rich_person angstrom concern about every day,Head ache
iodine rich_person angstrom interruption inch the skin between my thumb and index finger and information_technology volition not close.,Open wound
My son hour_angle angstrom batch of acne.,Acne
I feel in my pain back,Back pain
When I was young I had an injury from sports in my knee.,Injury from sports
['I beRl a sharp 9zin in my head wMdn I tMiBk too haTX.'],Head ache
I foot pain massage my have they me but still on make to tried,Foot ache
to chest go a breath My when hurts I take,Hard to breath
When I play football I have joint pain.,Joint pain
dry have a skin I,Skin issue
"i was ankle playing basketball yesterday, i have sprained ankle",Injury from sports
I've always be very active_agent merely now iodine just don't rich_person the strength Oregon energy to go for evening angstrom short walk.,Body feels weak
['My knee hurts wgeh I waIi'],Knee pain
iodine rich_person disterbance inch my emotion,Emotional pain
iodine don't know why I'm constantly sad.,Emotional pain
My shoulder muscle hurts when I try to reach up.,Muscle pain
['My hair is raPlJng wgsn I am comHKJg it.'],Hair falling out
"[""I fero >ikS I jksg can ' t cope ABym)re, I feel ov33wNeomed and l7oe I musG can ' t get a hrsak.""]",Emotional pain
i can't rotate iodine my neck,Neck pain
I toppled over while jumping to catch the ball.,Injury from sports
My kee is swallowing which indicates i have an infected wound,Infected wound
My shoulder muscle injury when iodine attempt to range up.,Muscle pain
I can't bleary see the sign I have a blurry vision,Blurry vision
heart ache sol much,Heart hurts
iodine rich_person Associate_in_Nursing ear ache when lavish,Ear ache
iodine I have shooting pain in my kneecap after working out.,Knee pain
Sharp pain and heavy breathing,Internal pain
['glaqA hrok3n and wound my leg badly the w)uns is so wLd#'],Open wound
Yesterday I had pain a shouder pain,Shoulder pain
i have difficulty moving my neck,Neck pain
['My ear bugts @Ten I toKxh it.'],Ear ache
I feel a sharp pain in when I think too hard.,Head ache
iodine can't bash anything iodine feel angstrom weak inch my body,Body feels weak
breathe I feel very hard to breathe,Hard to breath
when to ground i shoot the trying hit a basketball,Injury from sports
['I feel a great laig in my snKulddr noiht and it dI$s not go wsay'],Joint pain
['My heart h trFs wy@n I exercise'],Heart hurts
My joints feel joint swollen,Joint pain
I have a cut that is red cut and swollen.,Infected wound
I have constant stomach pain and bloating.,Internal pain
"My body feels weak although I eat a weak lot, why?",Body feels weak
I could not exercise because of my knee pain,Knee pain
iodine have alot of exercise yesterday sol iodine feel sharp muscle striving,Muscle pain
I have constant stomach pain and bloating.,Internal pain
my heart hurts me,Heart hurts
into joints is something being Feel jabbed my like,Joint pain
['My kn2F is hurtuBT so FadIy.'],Joint pain
"iodine Washington injure during football match, iodine Washington diagnose with cruciate ligament",Injury from sports
is squeezing like I feel my something lungs.,Hard to breath
"my child has cough night, she can't",Cough
My sore isn't healing two well and it's been like this for two weeks.,Open wound
I feel depressed when I see my hair falling out,Hair falling out
When i get up i see my skin vague,Skin issue
I could not exercise because of my knee pain,Knee pain
My hurting so much.,Foot ache
i was watching tv and suddenly have blurry vision,Blurry vision
"[""My MFart feD,s llUe it ' s going to rx9loRe.""]",Heart hurts
"I am worried how cold intolerant I am, I am always shivering, even out in the sun.",Feeling cold
Surgical wound infections,Infected wound
I have a pain in my stomach,Internal pain
"i can't with pneumonia, easily. diagnosed was breath i",Hard to breath
my hand open wound got infected,Infected wound
My son nicked his neck with an old old razor and that spot has become inflamed and looks like it is infected.,Infected wound
['I Gee; discomfort thrkughoK4 the body in HeberaI'],Body feels weak
have a in seeing objects it is too to see,Blurry vision
My face be all interrupt out with pimples.,Acne
when wake up the morning i feel dizzy,Feeling dizzy
I have a head pain every single day.,Internal pain
"[""i mavD oa&n but i can ' t specify plaxs""]",Internal pain
so that knees My stay more sitting walk bad hurt than I should. I to,Knee pain
['using hair t8n*c'],Hair falling out
When I eat too much sugar my body gets weak and dizzy.,Body feels weak
My out face is all broken out with pimples.,Acne
iodine hide angstrom stiffness inch my elbow and shoulder,Joint pain
"i was ankle playing basketball yesterday, i have sprained ankle",Injury from sports
My knees hurt so bad to walk that I stay sol sitting more than I should.,Knee pain
['I ffSl a duarp pain in my ahJle joint !hFn I stand.'],Joint pain
I have acne in my face and other problema in my derma like itching,Skin issue
It feels like is hitting my with a hammer. I feel pain on the top of my head and it throbs.,Head ache
heart ache sol much,Heart hurts
I usually have a bad cough when I angstrom get flu.,Cough
if your you knee? a How you know in do have torn meniscus,Knee pain
do I not why I feel cold know,Feeling cold
iodine Washington playing football and injuried with joint pain.,Joint pain
['Vee<s liu@ there are pins and needles sticIJnh in my jokntX'],Joint pain
"There is an extreme pressure below my belly button at the right, I feel every time I go for a jog.",Internal pain
help and but it panadol have took i a doesnÕt i migrain,Head ache
I had internal pain gases when I ate spicy food yesterday,Internal pain
When i'm driving my eyes see in double,Blurry vision
When iodine play football iodine dislocate my shoulder,Injury from sports
After eating I have burning sensation inside of me.,Stomach ache
I general my have discomfort torso. in,Internal pain
I feel pain in my legs after I ran I took some pain killers but it help.,Muscle pain
iodine cut my hand angstrom couple of week ago and evening though iodine support exploitation Associate_in_Nursing antibiotic cream it's not acquiring better.,Infected wound
termination I have a problem in the expiration because i have abronchial asthma,Hard to breath
My son hour_angle angstrom batch of acne.,Acne
I feel a tightness in my chest,Hard to breath
iodine americium have problem visual_perception things feel like angstrom cloud on my eyes everything be bleary,Blurry vision
When iodine try to beryllium warm and wear More apparel iodine found that iodine Washington still cold,Feeling cold
injury my ear hurts me badly,Ear ache
After a breakup I feel something strange strange in me.,Emotional pain
feel I do anything my body weak can't in I a,Body feels weak
muscle in shoulder burns move my arm.,Muscle pain
['I hxDe a sharp pauG in my qVdom#n.'],Internal pain
i have a pain in my elbow joint,Joint pain
Sometimes I cough because I'm a smoker,Cough
My son nick his neck with Associate_in_Nursing old razor and that topographic_point hour_angle become inflame and expression like information_technology be infected.,Infected wound
at center front itch and scalp of,Hair falling out
My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,Knee pain
My acne is really embarassing. It's read.,Acne
iodine feel joint pain every time iodine move,Joint pain
pain constant and stomach I bloating. have,Internal pain
How bash you know if you rich_person angstrom tear meniscus inch your knee?,Knee pain
I have a and it me cough alot,Cough
"[""I can ' t walk HesaJse i navw a grez% roit ache""]",Foot ache
my back injury Maine angstrom batch,Back pain
"i am feeling so dizzy, is so fragile.",Body feels weak
When i'm wake_up inch the morning iodine feel strange and rich_person dizziness,Feeling dizzy
i cant breathe breathe,Cough
sore I feel so sore in my stomach area.,Stomach ache
feel something hurt me in taking breath and I cant my breath,Hard to breath
"['There are tiheQ AheH I fDdl vr7sh3d uns$r a h tTe SeiFht and no air passing to my /unVs, it actually Qfares the hell out of me sNen it happens.']",Hard to breath
['^h4re is pain in the juXFles I do not Jnlw Dauqed'],Muscle pain
['i erel sad'],Emotional pain
After an hard working day I have foot ache,Foot ache
['I Eee? a sharp Oa*n in my syomwcU'],Internal pain
My muscle in my shoulder burns when I move my arm.,Muscle pain
I hit myself and the would doesn't want to heal,Open wound
['I Eee> w#sk all over.'],Body feels weak
care if I tried is When it take I found my hair out to that falling,Hair falling out
"['i was llay9nY basketball ywZ%erday, i have sprained QnkOe']",Injury from sports
iodine frequently get angstrom stomach ache after iodine eat. iodine haven't be able to pinpoint which food might beryllium the trigger.,Stomach ache
iodine feel weak,Body feels weak
my side much left aches,Internal pain
['3heh i get up i see my COin Datue'],Skin issue
iodine i have pain like needles in my joints.,Joint pain
"i was twist playing basketball yesterday, i have sprained ankle",Injury from sports
Stomach pain after drinking,Stomach ache
on my I a will not split that have thumb heal.,Open wound
"My mind feels very sad, as if it hurts. The way I in head is awful I think about my break-up, I cry with sadness.",Emotional pain
wound open hand my got infected,Infected wound
There is a sharp pain in my bicep,Muscle pain
The severe pain in the stomach severe I feel,Stomach ache
My body feels weak although I take my vitamins regularly.,Body feels weak
breath heavy breath with fatigue,Emotional pain
I and my clusters get on whiteheads blackheads back. of,Acne
I go to my head starts swirling,Feeling dizzy
though I'm adult my face keeps out in pimples.,Acne
I have a hair shortage,Hair falling out
I was playing soccer and I twisted iodine my ankle,Injury from sports
It is like I have a needle pushing through my heart.,Heart hurts
My kee is swallowing Associate_in_Nursing which indicates i have an infected wound,Infected wound
['my shoJlfeE is h*E4ing me'],Shoulder pain
i pain in,Neck pain
"was yesterday, sprained i have basketball i playing ankle",Injury from sports
I think my infect wound is infected,Infected wound
sometimes iodine feel like angstrom claw on my thorax that leaf Maine breathless.,Hard to breath
I a cut that was stitched together but is not healing. It is oozing green puss and burns.,Infected wound
iodine rich_person dark musca_volitans on my skin,Skin issue
"[""I can ' t $&rn my neck to the l#fR w7rhPut feeling a sRZbNing oa(n""]",Neck pain
"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down.",Hard to breath
all lower the carried My overdid back that think I it me. when I I lumber from is yard. killing,Back pain
think wound is infected,Infected wound
from that up pain my radiates I to urinate. worst when a my cage. rib It it's right is hip have I at,Internal pain
an wound. discovered open was He to have,Open wound
He was discovered to have an helium open wound.,Open wound
iodine feel pain inch my throat,Cough
My son had canal and the dentist accidentally cut inside of his cheek and it will not heal.,Infected wound
iodine rich_person angstrom difficult pain inch my stomach,Stomach ache
My muscle in my shoulder burns when I my,Muscle pain
sliced myself with a I was cooking,Open wound
iodine feel cold and chill evening though my apparel are heavy,Feeling cold
"[""WteB i ' m rfibing my e&Ws see in double""]",Blurry vision
There is a tingling sensation in my neck.,Neck pain
My knee is hurting so badly.,Joint pain
any doing pain have home after shoulder work. i,Shoulder pain
['I fdfl LaiG insiv# I do not .Jow what it is'],Internal pain
rash on have I my a skin,Skin issue
iodine rich_person film_over vision.,Blurry vision
My son his neck with an old razor and spot has looks like it infected.,Infected wound
I walk every day but now I get short of breath after going only a short way.,Hard to breath
iodine rich_person angstrom difficult muscle pain since iodine travel to the gymnasium,Muscle pain
it's Tylenol and My worse is ear hasn't hurts when My and painful helped. ear very I swallow.,Ear ache
I pain in my throat,Cough
I've be over my cold for week merely still cough every day.,Cough
iodine rich_person some pain when i'm walk about my knee,Joint pain
iodine rich_person film_over vision.,Blurry vision
"You won't believe me, merely this infect wound on my hand be from angstrom paper cut iodine didn't return seriously.",Infected wound
great foot thrombing i my a pain in releif pain relaxing my like with pain have,Foot ache
toppled catch I jumping the to ball. while over,Injury from sports
"I feel pain in my legs muscles after I ran yesterday, I took some pain killers but it doesn't help.",Muscle pain
think can't weak is i fade i feels face sleep body that and My well and my,Body feels weak
My sore isn't healing well and it's been like this for two weeks.,Open wound
iodine think my wound be infect,Infected wound
['I Sou.d not eAerSiCe because of my knee lWin'],Knee pain
My neck hour_angle be sore since the accident.,Neck pain
My shoulder hurts me injury so much,Shoulder pain
I think there's fluid my,Ear ache
iodine rich_person dark musca_volitans on my skin,Skin issue
I feel pain inside and I can not identify it,Internal pain
run I felt my heart hurts when I ran for along distance,Heart hurts
"is an extreme below my belly button at the right, which I feel every time I out for a jog.",Internal pain
I don't do anything at home and still I feel exhausted.,Body feels weak
His infected wound wound was beginning to rot.,Infected wound
"I beryllium have a blurry vision since I woke up this morning, what could be the reason?",Blurry vision
My head gets dizzy when I try to get up.,Feeling dizzy
I'm have angstrom difficult time reading because the letters are all fuzzed,Blurry vision
My face face break out badly every month around my cycle.,Acne
inside eating I sensation burning me. of have After,Stomach ache
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain
i was football and with pain.,Joint pain
I a great amount of pressure of head.,Head ache
"[""i ' m innuDrd i can ' t plxU xporfs""]",Injury from sports
['my su)&lder is hu5ginH me'],Shoulder pain
"['Annoyance sta5tZ s6dden>&, often af5dr an injury or exRrViee.']",Knee pain
I've noticed my hair falling out a lot lately.,Hair falling out
"[""WU$n I CtaBd up too q7ic<,y I f3Rl as tho7bh I ' m goonH to faint.""]",Feeling dizzy
My daughter have her ear pierce and one of her ear lobe be bright red and burning hot.,Infected wound
"It started as a tinnitus, but today the pain arsenic is throbbing and unbearable.",Ear ache
['My ckJn is veFT dry and LeFliHg.'],Skin issue
iodine knock my foot and information_technology truly hurts.,Foot ache
i feel that is great pain inch in my left shoulder,Shoulder pain
There feels like a swollen knot at my like shoulderblade with pain shooting from that,Shoulder pain
"My hair is coming out in chunks, especially when I wash it",Hair falling out
bad cough a very i have,Cough
['i hit the ground when 4ryiMg to DYoot a basj4tbali'],Injury from sports
['7eEterda6 I had a shoucr% pain'],Shoulder pain
"[""I xlwayq feel like I YaFe HenstrJql paiBw even if I don ' t uavD my )eEiod.""]",Internal pain
It hurts when I bent my arm arm,Joint pain
When I sneeze very hard I feel ear ache,Ear ache
In the morning my respiration is,Hard to breath
iodine have angstrom cold the stopping_point time iodine travel by airplane and iodine still rich_person angstrom discomfort inch my ears.,Ear ache
"information_technology be difficult to breath when iodine americium inch the underground metro station, why?",Hard to breath
I feel deep Tingling when I touch Acne followed by sensation,Acne
['I haF4 a bl7Fry v7siLn SftRr my head was hit yesterday.'],Blurry vision
I feel very weak in my body,Body feels weak
['I hacW a ear WShe whSM I go to the LoKl'],Ear ache
When I'm tired I feel my head heavy,Head ache
I hit myself and the would doesn't want heal,Open wound
back been for a week.,Back pain
Surgical wound infections,Infected wound
better my neck i I pain need with complain really and be alot to,Neck pain
i feel pain in my body,Internal pain
iodine rich_person internal pain whenever iodine semen down with angstrom cold.,Internal pain
"I couldn't stop shaking or unclench my jaw, iodine that's how cold I was.",Feeling cold
['I tried to put my goZss2s to see mirw clWa# but caJ^ fimv any change'],Blurry vision
My neck neck feels stiff,Neck pain
My body feel weak and iodine think that my face be slice and iodine can't sleep well,Body feels weak
['The warming suqtem of my GouQe is Frouen and feel so XolW'],Feeling cold
I feel pain in the knee,Knee pain
It feels someone a knife into my shoulder,Shoulder pain
can't ride my car at night because i have blurry vision.,Blurry vision
What helps heal faster?,Open wound
pain my throat in I feel,Cough
iodine don't rich_person problem pickings inch breath merely out breath be sol heavy,Hard to breath
a whenever I lot I knee go running. of pain have,Knee pain
My head hurts in the back and the pain lasts head all day.,Head ache
"[""My meaX is so heSBy can ' t think nirmQ/ly""]",Head ache
range arms I don't full with my have of motion,Shoulder pain
['I c@el a sharp px7n in my hewE wuRn I thiBo too hard.'],Head ache
My knee doesn't want to bend well.,Knee pain
['I Fom(laib xlor !ihh my Hevk pain and i tealpy need to be better'],Neck pain
a dry have throat I,Cough
suffering I have mental a,Emotional pain
"My body feels weak after my first day in the gym, weak why?",Body feels weak
I feel shoulder pain at intervals of time.,Shoulder pain
iodine walk every day merely now iodine get short of breath after departure lone angstrom short way.,Hard to breath
My sore isn't healing well and it's like been like this for two weeks.,Open wound
My head get gets dizzy when I try to get up.,Feeling dizzy
My skin is very dry dry and peeling.,Skin issue
feel abdominal pain,Stomach ache
below I cannot breathe because of this dull ache below my left shoulder.,Heart hurts
I get chills and aches all over.,Feeling cold
i was diagnosed i can't breath,Hard to breath
"[""I ' m not feeling gPPd I get ine$ctiob w9unw""]",Infected wound
"after playing football, i have pain with my both",Muscle pain
I feel pain in the knee iodine when walking,Knee pain
angstrom I have a neck pain when I sit in-front of my laptop.,Neck pain
neck There's swelling in my neck and it hurts.,Neck pain
My ear injury and it's worse when iodine swallow. My ear be very painful and acetaminophen hasn't helped.,Ear ache
I have front head pain and when I get it the light bothers me.,Head ache
open wound I i see doctor a an must have,Open wound
I'm suffering from sharp cough Accompanied by  phlegm,Cough
My heart is beating fast it scares me.,Heart hurts
"iodine rich_person angstrom bleary vision during my swimming training inch the pool, why?",Blurry vision
daughter opening and an that pulled brows of in her her threaded and oozing. My now one is it puffy of eyebrows had skin,Infected wound
iodine hate my acne.,Acne
My neck feel stiff,Neck pain
grandmother last went to because she was having a hard time,Hard to breath
['I 5eZd a book for qlLng tKmf and when I finished reading I feel beaE scYe'],Head ache
I've been over my cold for weeks but still cough every day.,Cough
My skin be itching.,Skin issue
it My is heart scares and fast me. beating,Heart hurts
"I am pop struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain
['I hWvF a Nentap suffering'],Emotional pain
feel discomfort throughout the in general,Body feels weak
My to bend,Knee pain
knee hurts when I play squash,Knee pain
My acne itches and oozes.,Acne
My joint feel swell,Joint pain
I have a throbbing in joints,Joint pain
"[""I ' m not hFaT8ng QFll I have p5IbKem sihh my ear""]",Ear ache
My skin is itchy and inflamed antsy,Skin issue
i have difficulty moving my neck,Neck pain
sight of and out dizzy I feel,Feeling dizzy
"my my arm I down shoots pain When shoulder, move on",Shoulder pain
His infected wound was beginning to rot.,Infected wound
is acne on my face there,Acne
"['My jiin5s feel Dwkl,en']",Joint pain
I'm have angstrom difficult time reading because the letters are all fuzzed,Blurry vision
cramps abdomen along the whole abdomen,Stomach ache
day. a pain head I every have single,Internal pain
he fluid broken day. open his was though on and My has spot it leaks cold a lip all husband that sore now but has,Infected wound
"[""It GeelX like I can ' t ta>2 a dWWp brRayh""]",Hard to breath
joints it ache whenever My is cold,Joint pain
can't breath because of Cough,Cough
I've feeling very sad lately,Emotional pain
"[""WgeB I stand up, I geeK liuf I ' m gpiMg to fall r(wn instantly""]",Feeling dizzy
['It fRelQ ?ikD my heart is foiJg to l$Sp out of my boS6. It hkrtD.'],Heart hurts
I carried a heavy bag yesterday and when I get up today I felt a great shoulder pain.,Shoulder pain
I have a cut that has become red and oozes puss.,Infected wound
so me My much hurts shoulder,Shoulder pain
"You won't believe me, merely this infect wound on my hand be from angstrom paper cut iodine didn't return seriously.",Infected wound
I can't get a girlfriend of my acne.,Acne
['My mhee is h*Gying so bWdlH.'],Joint pain
My exercise I hurts heart when,Heart hurts
My neck is annoying me I can't sleep bacause of Maine it,Neck pain
iodine rich_person trouble inch breathing inch herd places.,Hard to breath
sharp feel a I stomach pain my in,Internal pain
My back be pain sol much.,Back pain
iodine rich_person angstrom great pain inch my foot like thrombing pain with relax my pain releif,Foot ache
I feel discomfort throughout the body in general,Body feels weak
angstrom awful fall inch hair,Hair falling out
my ankle is hurting me,Joint pain
['Su%gifa? wound infections'],Infected wound
was soccer and playing twisted ankle my I I,Injury from sports
tried My pain body relax stills but weak and me make feels to it it I,Body feels weak
['my tWm(erstude dropped and my Hod6 get QynoceF'],Feeling cold
"['I am wordisC how c9lf ihtoOeeant I am, I am alAayq sh*vW5ing, fveG out in the sun.']",Feeling cold
I have throbing in inch my shoulder,Shoulder pain
heart feel in my I hurts,Heart hurts
can't breath i because Cough of,Cough
i pain feel pain in my body,Internal pain
I think my body temperature is very low.,Feeling cold
Can't keep focus,Head ache
change see more to cant find I put glasses tried any but to my clear,Blurry vision
I had internal pain and gases when I yesterday ate indian spicy food yesterday,Internal pain
